Nº Pedido,Cód. Cliente,CNPJ,Nome Cliente,Grupo Cliente,Região,Endereço Completo,Qtde. dos Itens,Peso dos Itens,Latitude,Longitude,Janela de Descarga,Anomalia
3740214,204885,28021619000363,Mix Vali Com. De Produtos Alimenticios L,Asp,Itatiba,"Rua Iolanda Latorre Cascaldi, 40, Loteamento Parque Dos Canarios, Itatiba, São Paulo",27,540.0,-23.00583,-46.83889,30,0
3740649,3416,02862774000157,Zeus Bar E Restaurante Ltda Ltda,Nenhum,Itu,"Avenida Doutor Ermilindo Maffei, 1199, Sao Luiz, Itu, São Paulo",3,60.0,-23.26417,-47.29917,30,0
3740652,5319,04202752000196,Churrascaria E Pizzaria Ituana Ltda Epp,Nenhum,Itu,"Avenida Nove De Julho, 600, Vila Padre Bento, Itu, São Paulo",14,260.0,-23.2558383,-47.3125982,30,0
3740519,9522,04306951000144,Jorge Nilson Schemer Me,Nenhum,Itu,"Rua Andradina, 178, Cidade Nova I, Itu, São Paulo",6,120.0,-23.26417,-47.29917,30,0
3740763,5484,04728243000100,Claudemir De Mattos Balarote - Me,Nenhum,Itu,"Rua Maestro Ezequias Nardy, 39, Jd. Padre Bento, Itu, São Paulo",5,100.0,-23.26417,-47.29917,30,0
3740663,12942,08681896000123,Anas Feriozzi Restaurante Ltda,Nenhum,Itu,"Avenida Doutor Ermelindo Maffei, 1199, Sao Luiz, Itu, São Paulo",4,80.0,-23.2642243,-47.280937,30,0
3740667,192848,10527727000185,Schneider & Coinaski Ltda - Me,Nenhum,Itu,"Avenida Dr. Ermelindo Maffei, 734, Sao Luiz, Itu, São Paulo",6,120.0,-23.2645744,-47.2828289,30,0
3740015,192727,11114172000102,Venturine & Lui Ltda - Epp,Nenhum,Itu,"Rua Cristovao Diniz, 599, Jardim Do Estadio, Itu, São Paulo",3,60.0,-23.2825872,-47.2874574,30,0
3740581,189096,17016832000107,American Steak Ltda,Nenhum,Itu,"Rua Antonio Joaquim Leme, 02, Vila Prudente De Moraes, Itu, São Paulo",8,150.0,-23.285001,-47.2893848,30,0
3740512,191282,17114475000101,L.F.Duarte & Cia Ltda - Me,Nenhum,Itu,"Rua Hamleto Menquini, 41, Parque Res.Potiguara, Itu, São Paulo",12,240.0,-23.26417,-47.29917,30,0
3740615,202975,22341181000152,Carnes Nobres Rancho Grande Ltda,Nenhum,Itu,"Rua Antonio Joaquim Leme, 2, Vila Prudente De Moraes, Itu, São Paulo",5,93.0,-23.285001,-47.2893848,30,0
3740228,191873,22938855000109,Restaurante E Pizzaria Meninos Ltda,Nenhum,Itu,"Praça Da Independencia, 218, Centro, Itu, São Paulo",3,60.0,-23.2657287,-47.2974244,30,0
3740895,202727,37021479000152,G.V. Comercio De Alimentos Ltda,Nenhum,Itu,"Rua Francisco Toscano, 10, Parque Das Rosas, Itu, São Paulo",5,100.0,-23.2798294,-47.298724,30,0
3740014,208053,49517627000103,Restaurante Lui E Venturine Ltda,Nenhum,Itu,"Rua Marcia Pierroni, 78, Itu Novo Centro, Itu, São Paulo",3,60.0,-23.26417,-47.29917,30,0
3740215,211173,50381074000193,Acougue Ceara Cortes Ltda,Nenhum,Itu,"Rua Doutor Eugenio Da Fonseca, 383, Jardim Aeroporto I, Itu, São Paulo",4,80.0,-23.26417,-47.29917,30,0
3740219,7702,52912854000148,Casa De Carnes Do Nelo Ltda,Nenhum,Itu,"Rua A Esquina Com Alameda Alice, 127, Jardim Convenção, Itu, São Paulo",22,432.0,-23.26417,-47.29917,30,0
3740818,10478,56786452000286,Supermercado Alvorada De Itu Ltda,Alvorada,Itu,"Rua Adelio Pazinatto, 251, Jardim Aeroporto I, Itu, São Paulo",12,240.0,-23.26417,-47.29917,30,0
3740775,1211,96584404000149,J.C.A. Mendes E Cia Ltda - Me,Nenhum,Itu,"Praça Da Independencia, 31, Centro, Itu, São Paulo",3,60.0,-23.2646325,-47.2972233,30,0
3740368,203961,06335956000120,Mercado Santa Eliza Ltda,Nenhum,Itupeva,"Rodovia Mario Tonoli, 177, Est.Hidro Mineral Santa Eliza, Itupeva, São Paulo",7,140.0,-23.15306,-47.05778,30,0
3740939,10162,07013199000131,Sup. E Restaurante Jva Eireli,Monte Serrat,Itupeva,"Praça São Paulo, 97, Centro, Itupeva, São Paulo",12,240.0,-23.1521891,-47.0570231,30,0
3740940,12905,07013199000212,Sup. E Restaurante Jva Eirelli,Monte Serrat,Itupeva,"Rua João Sabio Gonçalves, 132, Jardim Ana Luiza, Itupeva, São Paulo",24,475.0,-23.1582683,-47.0422031,30,0
3740582,200602,07751737000195,Gipa Cozinha Industrial Ltda,Nenhum,Itupeva,"Rua Prefeito Jose Carlos, 962, Jd Santa Julia, Itupeva, São Paulo",3,60.0,-23.1553979,-47.046005,30,0
3740552,196663,17322763000232,Mercado União De Itupeva Ltda,Nenhum,Itupeva,"Rua Alfredo Carlos Sao Jose, 47, Jd Europa, Itupeva, São Paulo",9,180.0,-23.15306,-47.05778,30,0
3740523,205561,17322763000313,Mercado Uniao De Itupeva Ltda,Nenhum,Itupeva,"Rua Alexandrina Mathias De Oliveira, 77, Parque Das Hortensias, Itupeva, São Paulo",10,185.0,-23.15306,-47.05778,30,0
3740573,213091,17322763000585,Mercado Uniao De Itupeva Ltda,Nenhum,Itupeva,"Rua Santa Clara, 175, Residencial Santo Antonio, Itupeva, São Paulo",4,80.0,-23.1624922,-47.0454896,30,0
3740711,204939,50974732000908,Cooperativa De Consumo Coopercica,Coopercica,Itupeva,"Avenida Jose Tonoli, 336, Centro, Itupeva, São Paulo",66,1270.0,-23.15306,-47.05778,30,0
3739349,195797,61233151003108,Covabra Supermercados Ltda,Covabra,Itupeva,"Rua Rua Jundiai, 380, Jardim Primavera, Itupeva, São Paulo",33,640.0,-23.1548565,-47.0544653,30,0
